sample_ID,vessel,doy,method,method_detail,collection_system,filt_sys,sample_depth_m,latitude,longitude,filt_material,filter_type,filter_pore_size_u,cruise_program,sst,ssta,sla_sla,sla_u,sla_v,chl_prod,sla_eke,is_field_control,is_lab_control
P2_C7,TINRO,82,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,49.25666667,-165.14333,PES,Hollow_Membrane,0.45,IYS_2022,5.571,1.639,0.0846,0.0393,-0.0057,NA,0.00078849,No,No
P1_C2,Shimada,52,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,57.71405,-152.52196,PES,Hollow_Membrane,0.45,IYS_2022,3.99483335,0.380333329,NA,NA,NA,342.117157,NA,No,No
P2_E3,Shimada,52,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,57.71405,-152.52196,PES,Hollow_Membrane,0.45,IYS_2022,3.99483335,0.380333329,NA,NA,NA,342.117157,NA,No,No
P1_B11,Shimada,53,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,57.121315,-146.97174,PES,Hollow_Membrane,0.45,IYS_2022,3.453750014,-0.403750002,-0.062100001,-0.0102,0.048500001,NA,0.001228145,No,No
P1_D7,Franklin,72,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,57,-141,PES,Hollow_Membrane,0.45,IYS_2022,4.851000011,0.142374999,0.0045,-0.053100001,0.073700003,289.6908497,0.00412565,No,No
P2_D4,Shimada,47,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,57,-151,PES,Hollow_Membrane,0.45,IYS_2022,4.417375028,-0.203875,0.0084,-0.255299985,-0.111199997,227.1643829,0.038771761,No,No
P1_D1,Shimada,47,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,57,-151,PES,Hollow_Membrane,0.45,IYS_2022,4.417375028,-0.203875,0.0084,-0.255299985,-0.111199997,227.1643829,0.038771761,No,No
P2_D10,Franklin,72,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,57,-141,PES,Hollow_Membrane,0.45,IYS_2022,4.851000011,0.142374999,0.0045,-0.053100001,0.073700003,NA,0.00412565,No,No
P1_C5,Shimada,53,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,56.999405,-146.9475,PES,Hollow_Membrane,0.45,IYS_2022,3.424250007,-0.484124999,-0.039999999,0.048099998,0.048500001,NA,0.00233293,No,No
P2_D5,Shimada,53,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,56.999405,-146.9475,PES,Hollow_Membrane,0.45,IYS_2022,3.424250007,-0.484124999,-0.039999999,0.048099998,0.048500001,NA,0.00233293,No,No
P2_D7,Franklin,74,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,56,-144,PES,Hollow_Membrane,0.45,IYS_2022,4.308375001,0.105250001,0.0263,-0.007,-0.038600001,255.0047126,0.00076948,No,No
P5_B11,Shimada,46,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,56,-151.5,PES,Hollow_Membrane,0.45,IYS_2022,3.127124995,-0.591750005,-0.145600006,-0.062899999,-0.0517,156.7300519,0.00331465,No,No
P1_B4,Shimada,46,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,56,-151.5,PES,Hollow_Membrane,0.45,IYS_2022,3.127124995,-0.591750005,-0.145600006,-0.062899999,-0.0517,156.7300519,0.00331465,No,No
P1_B10,Franklin,74,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,56,-144,PES,Hollow_Membrane,0.45,IYS_2022,4.308375001,0.105250001,0.0263,-0.007,-0.038600001,255.0047126,0.00076948,No,No
P1_A7,Franklin,72,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,56,-141,PES,Hollow_Membrane,0.45,IYS_2022,4.591000021,-0.011000002,-0.106700003,-0.0128,-0.026799999,257.299524,0.00044104,No,No
P2_E4,Franklin,72,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,56,-141,PES,Hollow_Membrane,0.45,IYS_2022,4.591000021,-0.011000002,-0.106700003,-0.0128,-0.026799999,257.299524,0.00044104,No,No
P1_E10,Franklin,70,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,55,-138,PES,Hollow_Membrane,0.45,IYS_2022,6.004999936,0.805624999,0.027799999,-0.057500001,-0.0583,310.3402143,0.00335257,No,No
P2_E5,Franklin,71,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,55,-141,PES,Hollow_Membrane,0.45,IYS_2022,5.197749972,0.444500003,-0.031500001,0.058800001,0.091499999,267.129364,0.005914845,No,No
P2_E6,Shimada,45,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,55,-151.5,PES,Hollow_Membrane,0.45,IYS_2022,3.44174996,-0.075500001,-0.078299999,-0.018300001,-0.0889,NA,0.00411905,No,No
P1_C7,Shimada,45,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,55,-151.5,PES,Hollow_Membrane,0.45,IYS_2022,3.44174996,-0.075500001,-0.078299999,-0.018300001,-0.0889,NA,0.00411905,No,No
P1_A12,Franklin,71,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,55,-141,PES,Hollow_Membrane,0.45,IYS_2022,5.197749972,0.444500003,-0.031500001,0.058800001,0.091499999,267.129364,0.005914845,No,No
P1_G11,Franklin,70,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,55,-138,PES,Hollow_Membrane,0.45,IYS_2022,6.004999936,0.805624999,0.027799999,-0.057500001,-0.0583,310.3402143,0.00335257,No,No
P1_A8,Shimada,54,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,54.999393,-146.99121,PES,Hollow_Membrane,0.45,IYS_2022,3.744125038,-0.025875,0.109099999,-0.016100001,-0.0017,NA,0.00013105,No,No
P2_D3,Shimada,54,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,54.999393,-146.99121,PES,Hollow_Membrane,0.45,IYS_2022,3.744125038,-0.025875,0.109099999,-0.016100001,-0.0017,NA,0.00013105,No,No
P1_C10,Shimada,54,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,54.001095,-147.00224,PES,Hollow_Membrane,0.45,IYS_2022,3.808499992,-0.272000005,0.035999998,-0.0766,-0.022700001,NA,0.003191425,No,No
P2_E1,Shimada,54,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,54.001095,-147.00224,PES,Hollow_Membrane,0.45,IYS_2022,3.808499992,-0.272000005,0.035999998,-0.0766,-0.022700001,NA,0.003191425,No,No
P1_B2,Franklin,70,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,54,-138,PES,Hollow_Membrane,0.45,IYS_2022,6.168124974,0.728249989,-0.052499998,-0.044199999,-0.0359,319.2445374,0.001621225,No,No
P1_G5,Franklin,71,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,54,-141,PES,Hollow_Membrane,0.45,IYS_2022,5.21587503,0.206250002,-0.033300001,-0.0284,0.0106,300.3065491,0.00045946,No,No
P1_E5,Franklin,71,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,54,-141,PES,Hollow_Membrane,0.45,IYS_2022,5.21587503,0.206250002,-0.033300001,-0.0284,0.0106,300.3065491,0.00045946,No,No
P1_C11,Franklin,75,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,54,-144,PES,Hollow_Membrane,0.45,IYS_2022,4.167249978,-0.314250001,-0.0033,0.0117,-0.0308,NA,0.000542765,No,No
P1_D4,Franklin,64,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,53,-138,PES,Hollow_Membrane,0.45,IYS_2022,6.585000098,0.724874996,0.0143,0.100599997,0.2245,NA,0.030260305,No,No
P1_A6,Franklin,69,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,53,-135,PES,Hollow_Membrane,0.45,IYS_2022,6.229125023,-0.141250001,-0.0502,-0.0228,-0.107900001,267.9597473,0.006081125,No,No
P1_C6,Franklin,64,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,53,-141,PES,Hollow_Membrane,0.45,IYS_2022,5.373374999,0.040375,-0.0054,-0.0027,-0.0011,174.4004161,0.00000425,No,No
P5_B12,Franklin,69,Point,CTD_Rosette,Niskin,RKS_Milkmachine,5,53,-135,PES,Hollow_Membrane,0.45,IYS_2022,6.229125023,-0.141250001,-0.0502,-0.0228,-0.107900001,267.9597473,0.006081125,No,No
